total KP 
5116
x,y,time[s]
0.829677,0.598485,0.055573
0.731092,0.608401,0.074862
0.799071,0.624297,0.054590
0.548695,0.576034,0.066322
0.567797,0.406557,0.057569
0.790303,0.598331,0.060158
0.543940,0.559714,0.066692
0.539510,0.571059,0.065915
0.524406,0.612602,0.039598
0.829268,0.604819,0.042014
0.694291,0.617077,0.048054
0.840426,0.584867,0.050451
0.550289,0.578091,0.056206
0.694581,0.531840,0.069802
0.733877,0.590353,0.040834
0.533113,0.368703,0.041340
0.816583,0.573350,0.048951
0.810537,0.588813,0.052698
0.833763,0.595361,0.050397
0.788219,0.576177,0.064553
0.838857,0.593857,0.068138
0.798969,0.556127,0.075649
0.831250,0.571956,0.051466
0.497371,0.314516,0.062285
0.824359,0.557272,0.061593
0.546816,0.693116,0.007232
0.726766,0.401297,0.062940
0.846244,0.588511,0.063334
0.475186,0.783008,0.063700
0.811794,0.586420,0.013089
0.390145,0.368947,0.054709
0.838894,0.589623,0.068571
0.725110,0.590793,0.046294
0.561939,0.586093,0.060417
0.616915,0.617261,0.078151
0.827400,0.565410,0.006376
0.808094,0.636364,0.049355
0.821192,0.570815,0.064646
0.574359,0.582578,0.072465
0.593838,0.664103,0.031821
0.811206,0.562201,0.070419
0.257417,0.416034,0.056921
0.520408,0.559232,0.057531
0.673148,0.615317,0.060515
0.555932,0.557792,0.060787
0.606421,0.533792,0.003272
0.811775,0.589973,0.063179
0.810328,0.568317,0.052784
0.741245,0.619139,0.066648
0.814183,0.588393,0.051922
0.561798,0.595388,0.063171
0.825558,0.594540,0.078683
0.705056,0.558389,0.009257
0.779097,0.614253,0.047745
0.675836,0.593728,0.054440
0.551020,0.620330,0.047967
0.541457,0.610538,0.056190
0.724750,0.603896,0.056723
0.448819,0.240854,0.057245
0.835349,0.587121,0.061143
0.620301,0.240143,0.044946
0.724704,0.573698,0.045833
0.560669,0.621665,0.055769
0.790297,0.574132,0.009948
0.457338,0.468310,0.051840
0.576613,0.624528,0.059279
0.567302,0.565097,0.069849
